key,doi,title,year,venue,authors,n_authors,cited,retracted,type,volume,issue,first_page,last_page,status,acs,num
ad_sahigara2012,10.3390/molecules17054791,Comparison of Different Approaches to Define the Applicability Domain of QSAR Models,2012,Molecules,Faizan Sahigara; Kamel Mansouri; Davide Ballabio; Andrea Mauri; Viviana Consonni; Roberto Todeschini,6,620,False,article,17,5,4791,4810,verified,"Sahigara, F.; Mansouri, K.; Ballabio, D.; Mauri, A.; Consonni, V.; Todeschini, R.. Comparison of Different Approaches to Define the Applicability Domain of QSAR Models. Molecules 2012, 17, 4791-4810.  DOI: 10.3390/molecules17054791.",23
ad_netzeva2005,10.1177/026119290503300508,QSAR Applicability Domain Estimation by Projection of the Training Set in Descriptor Space: A Review,2005,Alternatives to Laboratory Animals,Joanna Jaworska; Nina Nikolova-Jeliazkova; Tom Aldenberg,3,669,False,article,33,5,445,459,verified,"Jaworska, J.; Nikolova-Jeliazkova, N.; Aldenberg, T.. QSAR Applicability Domain Estimation by Projection of the Training Set in Descriptor Space: A Review. Alternatives to Laboratory Animals 2005, 33, 445-459.  DOI: 10.1177/026119290503300508.",24
conformal_norinder,10.1021/ci5001168,Introducing Conformal Prediction in Predictive Modeling. A Transparent and Flexible Alternative to Applicability Domain Determination,2014,Journal of Chemical Information and Modeling,Ulf Norinder; Lars Carlsson; Scott Boyer; Martin Eklund,4,212,False,article,54,6,1596,1603,verified,"Norinder, U.; Carlsson, L.; Boyer, S.; Eklund, M.. Introducing Conformal Prediction in Predictive Modeling. A Transparent and Flexible Alternative to Applicability Domain Determination. Journal of Chemical Information and Modeling 2014, 54, 1596-1603.  DOI: 10.1021/ci5001168.",25
conformal_bosc2019,10.1186/s13321-018-0325-4,Large scale comparison of QSAR and conformal prediction methods and their applications in drug discovery,2019,Journal of Cheminformatics,Nicolas Bosc; Francis Atkinson; Eloy Félix; Anna Gaulton; Anne Hersey; Andrew R. Leach,6,174,False,article,11,1,4,4,verified,"Bosc, N.; Atkinson, F.; Félix, E.; Gaulton, A.; Hersey, A.; Leach, A. R.. Large scale comparison of QSAR and conformal prediction methods and their applications in drug discovery. Journal of Cheminformatics 2019, 11, 4-4.  DOI: 10.1186/s13321-018-0325-4.",26
qsar_borders2020,10.1039/d0cs00098a,QSAR without borders,2020,Chemical Society Reviews,Eugene Muratov; Jürgen Bajorath; Robert P. Sheridan; Igor V. Tetko; Dmitry Filimonov; Vladimir Poroikov; Tudor I. Oprea; Igor I. Baskin; Alexandre Varnek; Adrián E. Roitberg; Olexandr Isayev; Stefano Curtalolo; Denis Fourches; Yoram Cohen; Alán Aspuru‐Guzik; David A. Winkler; Dimitris K. Agrafiotis; Artem Cherkasov; Alexander Tropsha,19,866,False,article,49,11,3525,3564,verified,"Muratov, E.; Bajorath, J.; Sheridan, R. P.; Tetko, I. V.; Filimonov, D.; Poroikov, V.; Oprea, T. I.; Baskin, I. I.; Varnek, A.; Roitberg, A. E.; et al.. QSAR without borders. Chemical Society Reviews 2020, 49, 3525-3564.  DOI: 10.1039/d0cs00098a.",27
rdkit_std_fourches,10.1021/ci100176x,"Trust, But Verify: On the Importance of Chemical Structure Curation in Cheminformatics and QSAR Modeling Research",2010,Journal of Chemical Information and Modeling,Denis Fourches; Eugene Muratov; Alexander Tropsha,3,822,False,article,50,7,1189,1204,verified,"Fourches, D.; Muratov, E.; Tropsha, A.. Trust, But Verify: On the Importance of Chemical Structure Curation in Cheminformatics and QSAR Modeling Research. Journal of Chemical Information and Modeling 2010, 50, 1189-1204.  DOI: 10.1021/ci100176x.",28
rogers2010,10.1021/ci100050t,Extended-Connectivity Fingerprints,2010,Journal of Chemical Information and Modeling,David Rogers; Mathew Hahn,2,7750,False,article,50,5,742,754,verified,"Rogers, D.; Hahn, M.. Extended-Connectivity Fingerprints. Journal of Chemical Information and Modeling 2010, 50, 742-754.  DOI: 10.1021/ci100050t.",29
breiman2001,10.1023/A:1010933404324,Random Forests,2001,Machine Learning,Leo Breiman,1,128110,False,article,45,1,5,32,verified,"Breiman, L.. Random Forests. Machine Learning 2001, 45, 5-32.  DOI: 10.1023/A:1010933404324.",30
sklearn2011,10.5555/1953048.2078195,Scikit-learn: Machine Learning in Python,2011,Journal of Machine Learning Research,PedregosaFabian; VaroquauxGaël; GramfortAlexandre; MichelVincent; ThirionBertrand; GriselOlivier; BlondelMathieu; PrettenhoferPeter; WeissRon; DubourgVincent; VanderplasJake; PassosAlexandre; CournapeauDavid; BrucherMatthieu; PerrotMatthieu; DuchesnayÉdouard,16,8276,False,article,,,,,verified,PedregosaFabian; VaroquauxGaël; GramfortAlexandre; MichelVincent; ThirionBertrand; GriselOlivier; BlondelMathieu; PrettenhoferPeter; WeissRon; DubourgVincent; et al.. Scikit-learn: Machine Learning in Python. Journal of Machine Learning Research 2011.  DOI: 10.5555/1953048.2078195.,31
bemis1996,10.1021/jm9602928,The Properties of Known Drugs. 1. Molecular Frameworks,1996,Journal of Medicinal Chemistry,Guy W. Bemis; Mark A. Murcko,2,2506,False,article,39,15,2887,2893,verified,"Bemis, G. W.; Murcko, M. A.. The Properties of Known Drugs. 1. Molecular Frameworks. Journal of Medicinal Chemistry 1996, 39, 2887-2893.  DOI: 10.1021/jm9602928.",32
